Enfermedad,Especie/s afectadas,Clasificación del virus,Tipo de Material genético,Transmisión,Tiempo de Incubación,Sintomatología,Diagnóstico y tipo de muestra,Vacunación en Uruguay
Arteritis Viral Equina,Equinos,Arteriviridae/Alphavirus,RNA de segmento simple,Directo (a través de secreciones respiratorias y contacto directo),3-14 días,"Aborto, edema en extremidades, vasculitis, conjuntivitis","Serología, PCR",
Aujeszky (Pseudorabia),Porcinos,Herpesviridae/Varicellovirus,DNA de doble hebra,Directo (contacto directo con animales infectados),3-5 días,"Nerviosismo, prurito, convulsiones, salivación excesiva","Serología, PCR",
Peste Porcina Clásica,Porcinos,Flaviviridae/Pestivirus,RNA de simple hebra,Directo (contacto directo con animales infectados),3-7 días,"Fiebre, anorexia, hemorragias, disnea","Serología, PCR",
Peste Porcina Africana,Porcinos,Asfarviridae/Asfivirus,DNA de doble hebra,Directo (contacto directo con animales infectados),4-19 días,"Fiebre alta, anorexia, hemorragias, alta mortalidad","Serología, PCR",
Síndrome Respiratorio Reproductivo Porcino,Porcinos,Arteriviridae/Arterivirus,RNA de segmento simple,Directo (contacto directo con animales infectados),1-7 días,"Tos, dificultad respiratoria, aborto, reducción en la producción","Serología, PCR",
Maedi Visna,Ovinos,Retroviridae/Lentivirus,RNA de doble hebra,"Directo (a través de secreciones respiratorias, contacto directo)",2-6 meses,"Pérdida de peso, dificultad respiratoria, neumonía progresiva","Serología, PCR",
Artritis Encefalitis Caprina,Caprinos,Retroviridae/Lentivirus,RNA de doble hebra,"Directo (a través de secreciones respiratorias, contacto directo)",2-8 semanas,"Artritis, encefalitis, mastitis","Serología, PCR",
Ectima Contagioso,"Bovinos, Ovinos, Caprinos",Poxviridae/Parapoxvirus,DNA de doble hebra,Directo (contacto directo con lesiones infectadas),2-8 días,"Lesiones en piel (pústulas, costras), fiebre, letargo","Detección de antígenos virales en muestras de lesiones, PCR",
Fiebre Catarral Maligna,Bovinos,Reoviridae/Orbivirus,RNA de segmento doble,Indirecto (mosquitos vectores),3-8 días,"Fiebre, inflamación nasal, erosiones bucales, dificultad respiratoria","Serología, PCR",
Mixomatosis,Conejos,Poxviridae/Leporipoxvirus,DNA de doble hebra,"Directo (a través de mosquitos, pulgas, contacto directo)",4-14 días,"Tumores cutáneos, inflamación de los ojos, dificultad respiratoria","Serología, PCR",
Peste Porcina Clásica,Porcinos,,,Directo (contacto directo con animales infectados),Disponible,3-7 días,"Fiebre, anorexia, hemorragias, disnea","Serología, PCR"
Peste Porcina Africana,Porcinos,,,Directo (contacto directo con animales infectados),No disponible,4-19 días,"Fiebre alta, anorexia, hemorragias, alta mortalidad","Serología, PCR"
Síndrome Respiratorio Reproductivo Porcino,Porcinos,,,Directo (contacto directo con animales infectados),Disponible,1-7 días,"Tos, dificultad respiratoria, aborto, reducción en la producción","Serología, PCR"
Maedi Visna,Ovinos,,,"Directo (a través de secreciones respiratorias, contacto directo)",No disponible,2-6 meses,"Pérdida de peso, dificultad respiratoria, neumonía progresiva","Serología, PCR"
Artritis Encefalitis Caprina,Caprinos,,,"Directo (a través de secreciones respiratorias, contacto directo)",No disponible,2-8 semanas,"Artritis, encefalitis, mastitis","Serología, PCR"
Ectima Contagioso,"Bovinos, Ovinos, Caprinos",,,Directo (contacto directo con lesiones infectadas),No disponible,2-8 días,"Lesiones en piel (pústulas, costras), fiebre, letargo","Detección de antígenos virales en muestras de lesiones, PCR"
Fiebre Catarral Maligna,Bovinos,,,Indirecto (mosquitos vectores),Disponible,3-8 días,"Fiebre, inflamación nasal, erosiones bucales, dificultad respiratoria","Serología, PCR"
Mixomatosis,Conejos,,,"Directo (a través de mosquitos, pulgas, contacto directo)",No disponible,4-14 días,"Tumores cutáneos, inflamación de los ojos, dificultad respiratoria","Serología, PCR"
